Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Martín Parra,CHI,Goalkeeper,cl Huachipato,,2000,6,6,540,9,24,15,2,1,1,0,0,9.3,29,86,142,22,48,100,0,8,0,0.3000000000000007
Mason Stajduhar,USA,Goalkeeper,Orlando City,,1997,5,5,388,8,28,20,1,2,2,0,0,10.0,11,28,75,25,22,38,4,4,0,2.0
Mateo Clemente,ARG,Goalkeeper,San Lorenzo,,2002,1,1,90,1,2,1,0,0,0,0,0,0.3,0,1,10,2,2,3,0,1,0,-0.7
Mateus Claus,BRA,Goalkeeper,Juventude,,1994,5,4,406,10,33,23,0,0,0,0,0,9.1,17,62,112,22,41,96,2,3,0,-0.9000000000000004
Mateus Pasinato,BRA,Goalkeeper,Cuiabá,,1992,2,2,180,2,7,5,1,0,0,0,0,1.7,9,19,30,8,16,23,0,0,0,-0.30000000000000004
Matheus,BRA,Goalkeeper,Braga,,1992,34,34,3060,50,127,79,6,7,6,0,1,46.4,151,386,985,151,251,419,24,72,1,-3.6000000000000014
Matheus Cunha,BRA,Goalkeeper,Flamengo,,2001,3,3,270,3,10,7,2,0,0,0,0,2.2,15,29,103,10,13,38,3,2,0,-0.7999999999999998
Matheus Donelli,BRA,Goalkeeper,Corinthians,,2002,7,7,630,12,40,27,0,2,1,1,0,10.2,20,66,145,29,53,113,1,1,1,-1.8000000000000007
Matheus Mendes,BRA,Goalkeeper,Atlético Mineiro,,1999,13,12,1087,22,67,44,1,2,1,1,0,25.8,34,80,252,51,79,166,9,14,1,3.8000000000000007
Mathew Ryan,AUS,Goalkeeper,AZ Alkmaar,,1992,29,29,2610,28,109,81,13,3,3,0,0,31.3,168,352,988,172,124,344,30,42,0,3.3000000000000007
Matija Šarkić,MNE,Goalkeeper,Millwall,,1997,32,32,2880,34,104,69,12,6,4,2,0,35.9,175,589,701,97,250,468,36,40,2,1.8999999999999986
Matt Freese,USA,Goalkeeper,NYCFC,,1998,34,34,2981,45,165,119,5,5,4,1,0,51.1,83,320,1085,205,223,413,28,33,1,6.100000000000001
Matt Ingram,ENG,Goalkeeper,Hull City,,1993,10,9,819,14,29,15,1,0,0,0,0,9.4,23,103,389,42,35,138,11,5,0,-4.6
Mattijs Branderhorst,NED,Goalkeeper,Utrecht,,1993,5,5,450,5,16,11,3,1,1,0,0,5.1,25,63,120,20,25,72,8,4,0,0.09999999999999964
